country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,nmiss
 Afghanistan ,Asia," Gross domestic product per capita, constant prices ",,820.84998,853.09998,836.20001,739.97998,786.10999,978.01001,852.40002,649.34003,635.34003,726.72998,974.58002,1
 Afghanistan ,Asia, Life expectancy ,28.799999,30.33,32,34.02,36.09,38.439999,39.849998,40.82,41.669998,41.759998,42.130001,43.830002,0
 Afghanistan ,Asia, Population ,8425333,9240934,10267083,11537966,13079460,14880372,12881816,13867957,16317921,22227416,25268404,31889924,0
 Albania ,Europe," Gross domestic product per capita, constant prices ",,1942.28,2312.8899,2760.2,3313.4199,3533,3630.8799,3738.9299,2497.4399,3193.05,4604.21,5937.0298,1
 Albania ,Europe, Life expectancy ,55.23,59.279999,64.82,66.220001,67.690002,68.93,70.419998,72,71.580002,72.949997,75.650002,76.419998,0
 Albania ,Europe, Population ,1282697,1476505,1728137,1984060,2263554,2509048,2780097,3075321,3326498,3428038,3508512,3600523,0
 Algeria ,Africa," Gross domestic product per capita, constant prices ",2449.01,3013.98,2550.8201,3246.99,4182.6602,4910.4199,5745.1602,5681.3599,5023.2202,4797.2998,5288.04,6223.3701,0
 Algeria ,Africa, Life expectancy ,43.080002,45.689999,48.299999,51.41,54.52,58.009998,61.369999,65.800003,67.739998,69.150002,70.989998,72.300003,0
 Algeria ,Africa, Population ,9279525,10270856,11000948,12760499,14760787,17152804,20033752,23254956,26298372,29072016,31287142,33333216,0
 Angola ,Africa," Gross domestic product per capita, constant prices ",3520.6101,3827.9399,4269.2798,5522.7798,5473.29,3008.6499,2756.95,2430.21,2627.8501,2277.1399,2773.29,4797.23,0
 Angola ,Africa, Life expectancy ,30.02,32,34,35.990002,37.93,39.48,39.939999,39.91,40.650002,40.959999,41,42.73,0
 Angola ,Africa, Population ,4232095,4561361,4826015,5247469,5894858,6162675,7016384,7874230,8735988,9875024,10866106,12420476,0
 Argentina ,Americas," Gross domestic product per capita, constant prices ",5911.3198,6856.8599,7133.1699,8052.9502,9443.04,10079.03,8997.9004,9139.6699,9308.4199,10967.28,8797.6396,12779.38,0
 Argentina ,Americas, Life expectancy ,62.490002,64.400002,65.139999,65.629997,67.07,68.480003,69.940002,70.769997,71.870003,73.279999,74.339996,75.32,0
 Argentina ,Americas, Population ,17876956,19610538,21283784,22934224,24779800,26983828,29341374,31620918,33958948,36203464,38331120,40301928,0
 Australia ,Oceania," Gross domestic product per capita, constant prices ",10039.6,10949.65,12217.23,14526.12,16788.631,18334.199,19477.01,21888.891,23424.77,26997.939,30687.75,34435.371,0
 Australia ,Oceania, Life expectancy ,69.120003,70.330002,70.93,71.099998,71.93,73.489998,74.739998,76.32,77.559998,78.830002,80.370003,81.239998,0
 Australia ,Oceania, Population ,8691212,9712569,10794968,11872264,13177000,14074100,15184200,16257249,17481976,18565244,19546792,20434176,0
 Austria ,Europe," Gross domestic product per capita, constant prices ",6137.0801,8842.5996,10750.72,12834.6,16661.631,19749.42,21597.08,23687.83,27042.02,29095.92,32417.609,36126.488,0
 Austria ,Europe, Life expectancy ,66.800003,67.480003,69.540001,70.139999,70.629997,72.169998,73.18,74.940002,76.040001,77.510002,78.980003,79.830002,0
 Austria ,Europe, Population ,6927772,6965860,7129864,7376998,7544201,7568430,7574613,7578903,7914969,8069876,8148312,8199783,0
 Bahrain ,Asia," Gross domestic product per capita, constant prices ",9867.0801,11635.8,12753.28,14804.67,18268.66,19340.1,19211.15,18524.02,19035.58,20292.02,23403.561,29796.051,0
 Bahrain ,Asia, Life expectancy ,50.939999,53.830002,56.919998,59.919998,63.299999,65.589996,69.050003,70.75,72.599998,73.93,74.800003,75.639999,0
 Bahrain ,Asia, Population ,120447,138655,171863,202182,230800,297410,377967,454612,529491,598561,656397,708573,0
 Bangladesh ,Asia," Gross domestic product per capita, constant prices ",,661.64001,686.34003,721.19,630.22998,659.88,676.97998,751.97998,837.81,972.77002,1136.39,1391.25,1
 Bangladesh ,Asia, Life expectancy ,37.48,39.349998,41.220001,43.450001,45.25,46.919998,50.009998,52.82,56.02,59.41,62.009998,64.059998,0
 Bangladesh ,Asia, Population ,46886860,51365468,56839288,62821884,70759296,80428304,93074408,103764240,113704576,123315288,135656784,150448336,0
 Belgium ,Europe," Gross domestic product per capita, constant prices ",8343.1104,9714.96,10991.21,13149.04,16672.141,19117.971,20979.85,22525.561,25575.57,27561.199,30485.881,33692.609,0
 Belgium ,Europe, Life expectancy ,68,69.239998,70.25,70.940002,71.440002,72.800003,73.93,75.349998,76.459999,77.529999,78.32,79.440002,0
 Belgium ,Europe, Population ,8730405,8989111,9218400,9556500,9709100,9821800,9856303,9870200,10045622,10199787,10311970,10392226,0
 Benin ,Africa," Gross domestic product per capita, constant prices ",1062.75,959.59998,949.5,1035.83,1085.8,1029.16,1277.9,1225.86,1191.21,1232.98,1372.88,1441.28,0
 Benin ,Africa, Life expectancy ,38.220001,40.360001,42.619999,44.889999,47.009998,49.189999,50.900002,52.34,53.919998,54.779999,54.41,56.73,0
 Benin ,Africa, Population ,1738315,1925173,2151895,2427334,2761407,3168267,3641603,4243788,4981671,6066080,7026113,8078314,0
 Bolivia ,Americas," Gross domestic product per capita, constant prices ",2677.3301,2127.6899,2180.97,2586.8899,2980.3301,3548.1001,3156.51,2753.6899,2961.7,3326.1399,3413.26,3822.1399,0
 Bolivia ,Americas, Life expectancy ,40.41,41.889999,43.43,45.029999,46.709999,50.02,53.860001,57.25,59.959999,62.049999,63.880001,65.550003,0
 Bolivia ,Americas, Population ,2883315,3211738,3593918,4040665,4565872,5079716,5642224,6156369,6893451,7693188,8445134,9119152,0
 Bosnia and Herzegovina ,Europe," Gross domestic product per capita, constant prices ",973.53003,1353.99,1709.6801,2172.3501,2860.1699,3528.48,4126.6099,4314.1099,2546.78,4766.3599,6018.98,7446.2998,0
 Bosnia and Herzegovina ,Europe, Life expectancy ,53.82,58.450001,61.93,64.790001,67.449997,69.860001,70.690002,71.139999,72.18,73.239998,74.089996,74.849998,0
 Bosnia and Herzegovina ,Europe, Population ,2791000,3076000,3349000,3585000,3819000,4086000,4172693,4338977,4256013,3607000,4165416,4552198,0
 Botswana ,Africa," Gross domestic product per capita, constant prices ",851.23999,918.22998,983.65002,1214.71,2263.6101,3214.8601,4551.1401,6205.8799,7954.1099,8647.1396,11003.61,12569.85,0
 Botswana ,Africa, Life expectancy ,47.619999,49.619999,51.52,53.299999,56.02,59.32,61.48,63.619999,62.75,52.560001,46.630001,50.73,0
 Botswana ,Africa, Population ,442308,474639,512764,553541,619351,781472,970347,1151184,1342614,1536536,1630347,1639131,0
 Brazil ,Americas," Gross domestic product per capita, constant prices ",2108.9399,2487.3701,3336.5901,3429.8601,4985.71,6660.1201,7030.8398,7807.1001,6950.2798,7957.98,8131.21,9065.7998,0
 Brazil ,Americas, Life expectancy ,50.919998,53.290001,55.669998,57.630001,59.5,61.490002,63.34,65.209999,67.059998,69.389999,71.010002,72.389999,0
 Brazil ,Americas, Population ,56602560,65551172,76039392,88049824,100840056,114313952,128962936,142938080,155975968,168546720,179914208,190010640,0
 Bulgaria ,Europe," Gross domestic product per capita, constant prices ",2444.29,3008.6699,4254.3398,5577,6597.4902,7612.2402,8224.1904,8239.8496,6302.6201,5970.3901,7696.7798,10680.79,0
 Bulgaria ,Europe, Life expectancy ,59.599998,66.610001,69.510002,70.419998,70.900002,70.809998,71.080002,71.339996,71.190002,70.32,72.139999,73.010002,0
 Bulgaria ,Europe, Population ,7274900,7651254,8012946,8310226,8576200,8797022,8892098,8971958,8658506,8066057,7661799,7322858,0
 Burkina Faso ,Africa," Gross domestic product per capita, constant prices ",,617.17999,722.51001,794.83002,854.73999,743.39001,807.20001,912.06,931.75,946.28998,1037.65,1217.03,1
 Burkina Faso ,Africa, Life expectancy ,31.98,34.91,37.810001,40.700001,43.59,46.139999,48.119999,49.560001,50.259998,50.32,50.650002,52.299999,0
 Burkina Faso ,Africa, Population ,4469979,4713416,4919632,5127935,5433886,5889574,6634596,7586551,8878303,10352843,12251209,14326203,0
 Burundi ,Africa," Gross domestic product per capita, constant prices ",339.29999,379.56,355.20001,412.98001,464.10001,556.09998,559.59998,621.82001,631.70001,463.12,446.39999,430.07001,0
 Burundi ,Africa, Life expectancy ,39.029999,40.529999,42.049999,43.549999,44.060001,45.91,47.470001,48.209999,44.740002,45.330002,47.360001,49.580002,0
 Burundi ,Africa, Population ,2445618,2667518,2961915,3330989,3529983,3834415,4580410,5126023,5809236,6121610,7021078,8390505,0
 Cambodia ,Asia," Gross domestic product per capita, constant prices ",,434.04001,496.91,523.42999,421.62,524.96997,624.47998,683.90002,682.29999,734.28998,896.22998,1713.78,1
 Cambodia ,Asia, Life expectancy ,39.419998,41.369999,43.419998,45.419998,40.32,31.219999,50.959999,53.91,55.799999,56.529999,56.75,59.720001,0
 Cambodia ,Asia, Population ,4693836,5322536,6083619,6960067,7450606,6978607,7272485,8371791,10150094,11782962,12926707,14131858,0
 Cameroon ,Africa," Gross domestic product per capita, constant prices ",1172.67,1313.05,1399.61,1508.45,1684.15,1783.4301,2367.98,2602.6599,1793.16,1694.34,1934.01,2042.1,0
 Cameroon ,Africa, Life expectancy ,38.52,40.43,42.639999,44.799999,47.049999,49.360001,52.959999,54.990002,54.310001,52.200001,49.860001,50.43,0
 Cameroon ,Africa, Population ,5009067,5359923,5793633,6335506,7021028,7959865,9250831,10780667,12467171,14195809,15929988,17696292,0
 Canada ,Americas," Gross domestic product per capita, constant prices ",11367.16,12489.95,13462.49,16076.59,18970.57,22090.881,22898.789,26626.52,26342.881,28954.93,33328.969,36319.238,0
 Canada ,Americas, Life expectancy ,68.75,69.959999,71.300003,72.129997,72.879997,74.209999,75.760002,76.860001,77.949997,78.610001,79.769997,80.650002,0
 Canada ,Americas, Population ,14785584,17010154,18985848,20819768,22284500,23796400,25201900,26549700,28523502,30305844,31902268,33390140,0
 Central African Republic ,Africa," Gross domestic product per capita, constant prices ",1071.3101,1190.84,1193.0699,1136.0601,1070.01,1109.37,956.75,844.88,747.90997,740.51001,738.69,706.02002,0
 Central African Republic ,Africa, Life expectancy ,35.459999,37.459999,39.48,41.48,43.459999,46.779999,48.299999,50.490002,49.400002,46.07,43.310001,44.740002,0
 Central African Republic ,Africa, Population ,1291695,1392284,1523478,1733638,1927260,2167533,2476971,2840009,3265124,3696513,4048013,4369038,0
 Chad ,Africa," Gross domestic product per capita, constant prices ",1178.67,1308.5,1389.8199,1196.8101,1104.1,1133.98,797.90997,952.39001,1058.0601,1004.96,1156.1801,1704.0601,0
 Chad ,Africa, Life expectancy ,38.09,39.880001,41.720001,43.599998,45.57,47.380001,49.52,51.049999,51.720001,51.57,50.529999,50.650002,0
 Chad ,Africa, Population ,2682462,2894855,3150417,3495967,3899068,4388260,4875118,5498955,6429417,7562011,8835739,10238807,0
 Chile ,Americas," Gross domestic product per capita, constant prices ",3939.98,4315.6201,4519.0898,5106.6499,5494.02,4756.7598,5095.6699,5547.0601,7596.1299,10118.05,10778.78,13171.64,0
 Chile ,Americas, Life expectancy ,54.75,56.07,57.919998,60.52,63.439999,67.050003,70.57,72.489998,74.129997,75.82,77.860001,78.550003,0
 Chile ,Americas, Population ,6377619,7048426,7961258,8858908,9717524,10599793,11487112,12463354,13572994,14599929,15497046,16284741,0
 China ,Asia," Gross domestic product per capita, constant prices ",400.45001,575.98999,487.67001,612.71002,676.90002,741.23999,962.41998,1378.9,1655.78,2289.23,3119.28,4959.1099,0
 China ,Asia, Life expectancy ,44,50.549999,44.5,58.380001,63.119999,63.970001,65.529999,67.269997,68.690002,70.43,72.029999,72.959999,0
 China ,Asia, Population ,556263552,637408000,665769984,754550016,862030016,943454976,1000281024,1084034944,1164969984,1230075008,1280400000,1318683136,0
 Colombia ,Americas," Gross domestic product per capita, constant prices ",2144.1201,2323.8101,2492.3501,2678.73,3264.6599,3815.8101,4397.5801,4903.2202,5444.6499,6117.3599,5755.2598,7006.5801,0
 Colombia ,Americas, Life expectancy ,50.639999,55.119999,57.860001,59.959999,61.619999,63.84,66.650002,67.769997,68.419998,70.309998,71.68,72.889999,0
 Colombia ,Americas, Population ,12350771,14485993,17009884,19764028,22542890,25094412,27764644,30964244,34202720,37657832,41008228,44227552,0
 Comoros ,Africa," Gross domestic product per capita, constant prices ",1102.99,1211.15,1406.65,1876.03,1937.58,1172.6,1267.1,1315.98,1246.91,1173.62,1075.8101,986.15002,0
 Comoros ,Africa, Life expectancy ,40.720001,42.459999,44.470001,46.470001,48.939999,50.939999,52.93,54.93,57.939999,60.66,62.970001,65.150002,0
 Comoros ,Africa, Population ,153936,170928,191689,217378,250027,304739,348643,395114,454429,527982,614382,710960,0
" Congo, Dem. Rep. ",Africa," Gross domestic product per capita, constant prices ",,905.85999,896.31,861.59003,904.90002,795.76001,673.75,672.77002,457.72,312.19,241.17,277.54999,1
" Congo, Dem. Rep. ",Africa, Life expectancy ,39.139999,40.650002,42.119999,44.060001,45.990002,47.799999,47.779999,47.41,45.549999,42.59,44.970001,46.459999,0
" Congo, Dem. Rep. ",Africa, Population ,14100005,15577932,17486434,19941072,23007668,26480870,30646496,35481644,41672144,47798984,55379852,64606760,0
" Congo, Rep. ",Africa," Gross domestic product per capita, constant prices ",2125.6201,2315.0601,2464.78,2677.9399,3213.1499,3259.1799,4879.5098,4201.1899,4016.24,3484.1599,3484.0601,3632.5601,0
" Congo, Rep. ",Africa, Life expectancy ,42.110001,45.049999,48.439999,52.040001,54.91,55.630001,56.700001,57.470001,56.43,52.959999,52.970001,55.32,0
" Congo, Rep. ",Africa, Population ,854885,940458,1047924,1179760,1340458,1536769,1774735,2064095,2409073,2800947,3328795,3800610,0
 Costa Rica ,Americas," Gross domestic product per capita, constant prices ",2627.01,2990.01,3460.9399,4161.73,5118.1499,5926.8799,5262.73,5629.9199,6160.4199,6677.0498,7723.4502,9645.0596,0
 Costa Rica ,Americas, Life expectancy ,57.209999,60.029999,62.84,65.419998,67.849998,70.75,73.449997,74.75,75.709999,77.260002,78.120003,78.779999,0
 Costa Rica ,Americas, Population ,926317,1112300,1345187,1588717,1834796,2108457,2424367,2799811,3173216,3518107,3834934,4133884,0
 Cote d'Ivoire ,Africa," Gross domestic product per capita, constant prices ",1388.59,1500.9,1728.87,2052.05,2378.2,2517.74,2602.71,2156.96,1648.0699,1786.27,1648.8,1544.75,0
 Cote d'Ivoire ,Africa, Life expectancy ,40.48,42.470001,44.93,47.349998,49.799999,52.369999,53.98,54.66,52.040001,47.990002,46.830002,48.330002,0
 Cote d'Ivoire ,Africa, Population ,2977019,3300000,3832408,4744870,6071696,7459574,9025951,10761098,12772596,14625967,16252726,18013408,0
 Croatia ,Europe," Gross domestic product per capita, constant prices ",3119.24,4338.23,5477.8901,6960.2998,9164.0898,11305.39,13221.82,13822.58,8447.79,9875.5996,11628.39,14619.22,0
 Croatia ,Europe, Life expectancy ,61.209999,64.769997,67.129997,68.5,69.610001,70.639999,70.459999,71.519997,72.529999,73.68,74.879997,75.75,0
 Croatia ,Europe, Population ,3882229,3991242,4076557,4174366,4225310,4318673,4413368,4484310,4494013,4444595,4481020,4493312,0
 Cuba ,Americas," Gross domestic product per capita, constant prices ",5586.54,6092.1699,5180.7598,5690.27,5305.4502,6380.4902,7316.9199,7532.9199,5592.8398,5431.9902,6340.6499,8948.0996,0
 Cuba ,Americas, Life expectancy ,59.419998,62.330002,65.25,68.290001,70.720001,72.650002,73.720001,74.169998,74.410004,76.150002,77.160004,78.269997,0
 Cuba ,Americas, Population ,6007797,6640752,7254373,8139332,8831348,9537988,9789224,10239839,10723260,10983007,11226999,11416987,0
 Czech Republic ,Europe," Gross domestic product per capita, constant prices ",6876.1401,8256.3398,10136.87,11399.44,13108.45,14800.16,15377.23,16310.44,14297.02,16048.51,17596.211,22833.311,0
 Czech Republic ,Europe, Life expectancy ,66.870003,69.029999,69.900002,70.379997,70.290001,70.709999,70.959999,71.580002,72.400002,74.010002,75.510002,76.489998,0
 Czech Republic ,Europe, Population ,9125183,9513758,9620282,9835109,9862158,10161915,10303704,10311597,10315702,10300707,10256295,10228744,0
 Denmark ,Europe," Gross domestic product per capita, constant prices ",9692.3896,11099.66,13583.31,15937.21,18866.211,20422.9,21688.039,25116.18,26406.74,29804.35,32166.5,35278.422,0
 Denmark ,Europe, Life expectancy ,70.779999,71.809998,72.349998,72.959999,73.470001,74.690002,74.629997,74.800003,75.330002,76.110001,77.18,78.330002,0
 Denmark ,Europe, Population ,4334000,4487831,4646899,4838800,4991596,5088419,5117810,5127024,5171393,5283663,5374693,5468120,0
 Djibouti ,Africa," Gross domestic product per capita, constant prices ",2669.53,2864.97,3020.99,3020.05,3694.21,3081.76,2879.47,2880.1001,2377.1599,1895.02,1908.26,2082.48,0
 Djibouti ,Africa, Life expectancy ,34.810001,37.330002,39.689999,42.07,44.369999,46.52,48.810001,50.040001,51.599998,53.16,53.369999,,1
 Djibouti ,Africa, Population ,63149,71851,89898,127617,178848,228694,305991,311025,384156,417908,447416,496374,0
 Dominican Republic ,Americas," Gross domestic product per capita, constant prices ",1397.72,1544.4,1662.14,1653.72,2189.8701,2681.99,2861.0901,2899.8401,3044.21,3614.1001,4563.8101,6025.3701,0
 Dominican Republic ,Americas, Life expectancy ,45.93,49.830002,53.459999,56.75,59.630001,61.790001,63.73,66.050003,68.459999,69.959999,70.849998,,1
 Dominican Republic ,Americas, Population ,2491346,2923186,3453434,4049146,4671329,5302800,5968349,6655297,7351181,7992357,8650322,9319622,0
 Ecuador ,Americas," Gross domestic product per capita, constant prices ",3522.1101,3780.55,4086.1101,4579.0698,5280.9902,6679.6201,7213.79,6481.7798,7103.7002,7429.46,5773.04,6873.2598,0
 Ecuador ,Americas, Life expectancy ,48.360001,51.360001,54.639999,56.68,58.799999,61.310001,64.339996,67.230003,69.610001,72.309998,74.169998,74.989998,0
 Ecuador ,Americas, Population ,3548753,4058385,4681707,5432424,6298651,7278866,8365850,9545158,10748394,11911819,12921234,13755680,0
 Egypt ,Africa," Gross domestic product per capita, constant prices ",1418.8199,1458.92,1693.34,1814.88,2024.01,2785.49,3503.73,3885.46,3794.76,4173.1802,4754.6001,5581.1802,0
 Egypt ,Africa, Life expectancy ,41.889999,44.439999,46.990002,49.290001,51.139999,53.32,56.009998,59.799999,63.669998,67.220001,69.809998,71.339996,0
 Egypt ,Africa, Population ,22223308,25009740,28173308,31681188,34807416,38783864,45681812,52799064,59402200,66134292,73312560,80264544,0
 El Salvador ,Americas," Gross domestic product per capita, constant prices ",3048.3,3421.52,3776.8,4358.6001,4520.25,5138.9199,4098.3398,4140.4399,4444.23,5154.8301,5351.5698,5728.3501,0
 El Salvador ,Americas, Life expectancy ,45.259998,48.57,52.310001,55.860001,58.209999,56.700001,56.599998,63.150002,66.800003,69.540001,70.730003,71.879997,0
 El Salvador ,Americas, Population ,2042865,2355805,2747687,3232927,3790903,4282586,4474873,4842194,5274649,5783439,6353681,6939688,0
 Equatorial Guinea ,Africa," Gross domestic product per capita, constant prices ",375.64001,426.10001,582.84003,915.59998,672.40997,958.57001,927.83002,966.90002,1132.0601,2814.48,7703.5,12154.09,0
 Equatorial Guinea ,Africa, Life expectancy ,34.48,35.98,37.490002,38.990002,40.52,42.02,43.66,45.66,47.549999,48.25,49.349998,51.580002,0
 Equatorial Guinea ,Africa, Population ,216964,232922,249220,259864,277603,192675,285483,341244,387838,439971,495627,551201,0
 Eritrea ,Africa," Gross domestic product per capita, constant prices ",328.94,344.16,381,468.79001,514.32001,505.75,524.88,521.13,582.85999,913.46997,765.34998,641.37,0
 Eritrea ,Africa, Life expectancy ,35.93,38.049999,40.16,42.189999,44.139999,44.540001,43.889999,46.450001,49.990002,53.380001,55.240002,58.040001,0
 Eritrea ,Africa, Population ,1438760,1542611,1666618,1820319,2260187,2512642,2637297,2915959,3668440,4058319,4414865,4906585,0
 Ethiopia ,Africa," Gross domestic product per capita, constant prices ",362.14999,378.89999,419.45999,516.12,566.23999,556.81,577.85999,573.73999,421.35001,515.89001,530.04999,690.81,0
 Ethiopia ,Africa, Life expectancy ,34.080002,36.669998,40.060001,42.119999,43.52,44.509998,44.919998,46.68,48.09,49.400002,50.73,52.950001,0
 Ethiopia ,Africa, Population ,20860940,22815614,25145372,27860296,30770372,34617800,38111756,42999528,52088560,59861300,67946800,76511888,0
 Finland ,Europe," Gross domestic product per capita, constant prices ",6424.52,7545.4199,9371.8398,10921.64,14358.88,15605.42,18533.16,21141.01,20647.16,23723.949,28204.59,33207.078,0
 Finland ,Europe, Life expectancy ,66.550003,,68.75,69.830002,70.870003,72.519997,74.550003,74.830002,75.699997,77.129997,78.370003,79.309998,1
 Finland ,Europe, Population ,4090500,4324000,4491443,4605744,4639657,4738902,4826933,4931729,5041039,5134406,5193039,5238460,0
 France ,Europe," Gross domestic product per capita, constant prices ",7029.8101,8662.8301,10560.49,12999.92,16107.19,18292.641,20293.9,22066.439,24703.801,25889.779,28926.029,30470.02,0
 France ,Europe, Life expectancy ,67.410004,68.93,70.510002,71.550003,72.379997,73.830002,74.889999,76.339996,77.459999,78.639999,79.589996,80.660004,0
 France ,Europe, Population ,42459668,44310864,47124000,49569000,51732000,53165020,54433564,55630100,57374180,58623428,59925036,61083916,0
 Gabon ,Africa," Gross domestic product per capita, constant prices ",4293.48,4976.2002,6631.46,8358.7598,11401.95,21745.57,15113.36,11864.41,13522.16,14722.84,12521.71,13206.48,0
 Gabon ,Africa, Life expectancy ,37,39,40.490002,44.599998,48.689999,52.790001,56.560001,60.189999,61.369999,60.459999,56.759998,56.740002,0
 Gabon ,Africa, Population ,420702,434904,455661,489004,537977,706367,753874,880397,985739,1126189,1299304,1454867,0
 Gambia ,Africa," Gross domestic product per capita, constant prices ",485.23001,520.92999,599.65002,734.78003,756.09003,884.76001,835.81,611.65997,665.62,653.72998,660.59003,752.75,0
 Gambia ,Africa, Life expectancy ,30,,33.900002,35.860001,38.310001,41.84,45.580002,49.27,52.639999,55.860001,58.040001,59.450001,1
 Gambia ,Africa, Population ,284320,323150,374020,439593,517101,608274,715523,848406,1025384,1235767,1457766,1688359,0
