time,location,time,value
2004-01-01,NLD,2004,5.675
2005-01-01,NLD,2005,5.883333
2006-01-01,NLD,2006,5.008333
2007-01-01,NLD,2007,4.175
2008-01-01,NLD,2008,3.666667
2009-01-01,NLD,2009,4.35
2010-01-01,NLD,2010,5.008333
2011-01-01,NLD,2011,4.991667
2012-01-01,NLD,2012,5.825
2013-01-01,NLD,2013,7.241667
2014-01-01,NLD,2014,7.425
2015-01-01,NLD,2015,6.891667
2016-01-01,NLD,2016,6.025
2017-01-01,NLD,2017,4.858333
2018-01-01,NLD,2018,3.841667
2019-01-01,NLD,2019,3.4
2020-01-01,NLD,2020,3.833333
1956-01-01,NZL,1956,0.0
1957-01-01,NZL,1957,0.0
1958-01-01,NZL,1958,0.1193317
1959-01-01,NZL,1959,0.1172333
1960-01-01,NZL,1960,0.1156069
1961-01-01,NZL,1961,0.0
1962-01-01,NZL,1962,0.1109878
1963-01-01,NZL,1963,0.1086956
1964-01-01,NZL,1964,0.1055966
1965-01-01,NZL,1965,0.1020408
1966-01-01,NZL,1966,0.09852216
1967-01-01,NZL,1967,0.09596929
1968-01-01,NZL,1968,0.7759457
1969-01-01,NZL,1969,0.2859867
1970-01-01,NZL,1970,0.09267841
1971-01-01,NZL,1971,0.1829826
1972-01-01,NZL,1972,0.4508566
1973-01-01,NZL,1973,0.1746725
1974-01-01,NZL,1974,0.0838223
1975-01-01,NZL,1975,0.2465078
1976-01-01,NZL,1976,0.322841
1977-01-01,NZL,1977,0.317965
1978-01-01,NZL,1978,1.657459
1979-01-01,NZL,1979,1.942502
1980-01-01,NZL,1980,2.242846
1981-01-01,NZL,1981,3.601532
1982-01-01,NZL,1982,3.536494
1983-01-01,NZL,1983,5.663189
1984-01-01,NZL,1984,5.743741
1985-01-01,NZL,1985,4.181687
1986-01-01,NZL,1986,4.175
1987-01-01,NZL,1987,4.225
1988-01-01,NZL,1988,5.8
1989-01-01,NZL,1989,7.275
1990-01-01,NZL,1990,7.975
1991-01-01,NZL,1991,10.6
1992-01-01,NZL,1992,10.65
1993-01-01,NZL,1993,9.8
1994-01-01,NZL,1994,8.35
1995-01-01,NZL,1995,6.45
1996-01-01,NZL,1996,6.3
1997-01-01,NZL,1997,6.825
1998-01-01,NZL,1998,7.725
1999-01-01,NZL,1999,7.025
2000-01-01,NZL,2000,6.15
2001-01-01,NZL,2001,5.45
2002-01-01,NZL,2002,5.3
2003-01-01,NZL,2003,4.775
2004-01-01,NZL,2004,4.025
2005-01-01,NZL,2005,3.825
2006-01-01,NZL,2006,3.85
2007-01-01,NZL,2007,3.575
2008-01-01,NZL,2008,4.025
2009-01-01,NZL,2009,5.875
2010-01-01,NZL,2010,6.225
2011-01-01,NZL,2011,6.025
2012-01-01,NZL,2012,6.475
2013-01-01,NZL,2013,5.85
2014-01-01,NZL,2014,5.425
2015-01-01,NZL,2015,5.4
2016-01-01,NZL,2016,5.125
2017-01-01,NZL,2017,4.725
2018-01-01,NZL,2018,4.325
2019-01-01,NZL,2019,4.1
2020-01-01,NZL,2020,4.6
1989-01-01,NOR,1989,4.883333
1990-01-01,NOR,1990,5.216667
1991-01-01,NOR,1991,5.45
1992-01-01,NOR,1992,5.925
1993-01-01,NOR,1993,5.95
1994-01-01,NOR,1994,5.408333
1995-01-01,NOR,1995,4.933333
1996-01-01,NOR,1996,4.75
1997-01-01,NOR,1997,3.916667
1998-01-01,NOR,1998,3.091667
1999-01-01,NOR,1999,3.033333
2000-01-01,NOR,2000,3.241667
2001-01-01,NOR,2001,3.408333
2002-01-01,NOR,2002,3.666667
2003-01-01,NOR,2003,4.208333
2004-01-01,NOR,2004,4.275
2005-01-01,NOR,2005,4.525
2006-01-01,NOR,2006,3.425
2007-01-01,NOR,2007,2.558333
2008-01-01,NOR,2008,2.725
2009-01-01,NOR,2009,3.283333
2010-01-01,NOR,2010,3.733333
2011-01-01,NOR,2011,3.408333
2012-01-01,NOR,2012,3.3
2013-01-01,NOR,2013,3.758333
2014-01-01,NOR,2014,3.633333
2015-01-01,NOR,2015,4.5
2016-01-01,NOR,2016,4.758333
2017-01-01,NOR,2017,4.191667
2018-01-01,NOR,2018,3.875
2019-01-01,NOR,2019,3.7
2020-01-01,NOR,2020,4.6
1997-01-01,POL,1997,10.86667
1998-01-01,POL,1998,10.16667
1999-01-01,POL,1999,13.39167
2000-01-01,POL,2000,16.075
2001-01-01,POL,2001,18.30833
2002-01-01,POL,2002,20.03333
2003-01-01,POL,2003,19.75
2004-01-01,POL,2004,19.14167
2005-01-01,POL,2005,17.925
2006-01-01,POL,2006,13.96667
2007-01-01,POL,2007,9.608334
2008-01-01,POL,2008,7.041667
2009-01-01,POL,2009,8.116667
2010-01-01,POL,2010,9.675
2011-01-01,POL,2011,9.65
2012-01-01,POL,2012,10.10833
2013-01-01,POL,2013,10.34167
2014-01-01,POL,2014,9.016666
2015-01-01,POL,2015,7.525
2016-01-01,POL,2016,6.191667
2017-01-01,POL,2017,4.883333
2018-01-01,POL,2018,3.858333
2019-01-01,POL,2019,3.283333
2020-01-01,POL,2020,3.158333
1983-01-01,PRT,1983,8.175
1984-01-01,PRT,1984,8.866667
1985-01-01,PRT,1985,9.15
1986-01-01,PRT,1986,8.8
1987-01-01,PRT,1987,7.233333
1988-01-01,PRT,1988,5.841667
1989-01-01,PRT,1989,5.183333
1990-01-01,PRT,1990,4.8
1991-01-01,PRT,1991,4.183333
1992-01-01,PRT,1992,4.125
1993-01-01,PRT,1993,5.5
1994-01-01,PRT,1994,6.825
1995-01-01,PRT,1995,7.183333
1996-01-01,PRT,1996,7.241667
1997-01-01,PRT,1997,6.741667
1998-01-01,PRT,1998,6.1
1999-01-01,PRT,1999,5.725
2000-01-01,PRT,2000,5.266667
2001-01-01,PRT,2001,5.375
2002-01-01,PRT,2002,6.466667
2003-01-01,PRT,2003,7.808333
2004-01-01,PRT,2004,8.166667
2005-01-01,PRT,2005,9.233334
2006-01-01,PRT,2006,9.3
2007-01-01,PRT,2007,9.583333
2008-01-01,PRT,2008,9.241667
2009-01-01,PRT,2009,11.225
2010-01-01,PRT,2010,12.58333
2011-01-01,PRT,2011,13.51667
2012-01-01,PRT,2012,16.575
2013-01-01,PRT,2013,17.175
2014-01-01,PRT,2014,14.65
2015-01-01,PRT,2015,13.025
2016-01-01,PRT,2016,11.46667
2017-01-01,PRT,2017,9.225
2018-01-01,PRT,2018,7.166667
2019-01-01,PRT,2019,6.675
2020-01-01,PRT,2020,7.116667
1998-01-01,SVK,1998,12.70833
1999-01-01,SVK,1999,16.49167
2000-01-01,SVK,2000,18.90833
2001-01-01,SVK,2001,19.45833
2002-01-01,SVK,2002,18.80833
2003-01-01,SVK,2003,17.69167
2004-01-01,SVK,2004,18.35833
2005-01-01,SVK,2005,16.375
2006-01-01,SVK,2006,13.46667
2007-01-01,SVK,2007,11.23333
2008-01-01,SVK,2008,9.575
2009-01-01,SVK,2009,12.11667
2010-01-01,SVK,2010,14.5
2011-01-01,SVK,2011,13.68333
2012-01-01,SVK,2012,13.95833
2013-01-01,SVK,2013,14.225
2014-01-01,SVK,2014,13.20833
2015-01-01,SVK,2015,11.5
2016-01-01,SVK,2016,9.666667
2017-01-01,SVK,2017,8.125
2018-01-01,SVK,2018,6.541667
2019-01-01,SVK,2019,5.766667
2020-01-01,SVK,2020,6.7
1987-01-01,ESP,1987,19.71667
1988-01-01,ESP,1988,18.69167
1989-01-01,ESP,1989,16.54167
1990-01-01,ESP,1990,15.45833
1991-01-01,ESP,1991,15.5
1992-01-01,ESP,1992,17.01667
1993-01-01,ESP,1993,20.84167
1994-01-01,ESP,1994,22.05
1995-01-01,ESP,1995,20.75
1996-01-01,ESP,1996,19.89167
1997-01-01,ESP,1997,18.39167
1998-01-01,ESP,1998,16.40833
1999-01-01,ESP,1999,13.6
2000-01-01,ESP,2000,11.91667
2001-01-01,ESP,2001,10.55833
2002-01-01,ESP,2002,11.44167
2003-01-01,ESP,2003,11.49167
2004-01-01,ESP,2004,10.95833
2005-01-01,ESP,2005,9.166667
2006-01-01,ESP,2006,8.458333
2007-01-01,ESP,2007,8.225
2008-01-01,ESP,2008,11.26667
2009-01-01,ESP,2009,17.86667
2010-01-01,ESP,2010,19.875
2011-01-01,ESP,2011,21.40833
2012-01-01,ESP,2012,24.79167
2013-01-01,ESP,2013,26.11667
2014-01-01,ESP,2014,24.45
2015-01-01,ESP,2015,22.075
2016-01-01,ESP,2016,19.65
2017-01-01,ESP,2017,17.23333
2018-01-01,ESP,2018,15.26667
2019-01-01,ESP,2019,14.10833
2020-01-01,ESP,2020,15.53333
1983-01-01,SWE,1983,3.666667
1984-01-01,SWE,1984,3.266667
1985-01-01,SWE,1985,2.883333
1986-01-01,SWE,1986,2.691667
1987-01-01,SWE,1987,2.191667
1988-01-01,SWE,1988,1.8
1989-01-01,SWE,1989,1.558333
1990-01-01,SWE,1990,1.716667
1991-01-01,SWE,1991,3.1
1992-01-01,SWE,1992,5.558333
1993-01-01,SWE,1993,9.05
1994-01-01,SWE,1994,9.358334
1995-01-01,SWE,1995,8.8
1996-01-01,SWE,1996,9.558333
1997-01-01,SWE,1997,9.891666
1998-01-01,SWE,1998,8.2
1999-01-01,SWE,1999,6.733333
2000-01-01,SWE,2000,5.6
2001-01-01,SWE,2001,5.825
2002-01-01,SWE,2002,5.95
2003-01-01,SWE,2003,6.566667
2004-01-01,SWE,2004,7.375
2005-01-01,SWE,2005,7.641667
2006-01-01,SWE,2006,7.041667
2007-01-01,SWE,2007,6.116667
2008-01-01,SWE,2008,6.166667
2009-01-01,SWE,2009,8.3
2010-01-01,SWE,2010,8.575
2011-01-01,SWE,2011,7.766667
2012-01-01,SWE,2012,7.966667
2013-01-01,SWE,2013,8.0
2014-01-01,SWE,2014,7.933333
2015-01-01,SWE,2015,7.4
2016-01-01,SWE,2016,6.95
2017-01-01,SWE,2017,6.683333
2018-01-01,SWE,2018,6.325
2019-01-01,SWE,2019,6.766667
2020-01-01,SWE,2020,8.291667
2010-01-01,CHE,2010,4.803626
2011-01-01,CHE,2011,4.401669
2012-01-01,CHE,2012,4.484188
2013-01-01,CHE,2013,4.747292
2014-01-01,CHE,2014,4.829988
2015-01-01,CHE,2015,4.800639
2016-01-01,CHE,2016,4.91918
2017-01-01,CHE,2017,4.797587
2018-01-01,CHE,2018,4.714414
2019-01-01,CHE,2019,4.394452
2020-01-01,CHE,2020,4.815328
2005-01-01,TUR,2005,9.508333
2006-01-01,TUR,2006,9.066667
2007-01-01,TUR,2007,9.158334
2008-01-01,TUR,2008,10.025
2009-01-01,TUR,2009,13.04167
2010-01-01,TUR,2010,11.15
2011-01-01,TUR,2011,9.141666
2012-01-01,TUR,2012,8.433333
2013-01-01,TUR,2013,9.05
2014-01-01,TUR,2014,9.891666
2015-01-01,TUR,2015,10.33333
2016-01-01,TUR,2016,10.90833
2017-01-01,TUR,2017,10.925
2018-01-01,TUR,2018,10.9
2019-01-01,TUR,2019,13.73333
2020-01-01,TUR,2020,13.14167
1983-01-01,GBR,1983,10.775
1984-01-01,GBR,1984,10.85
1985-01-01,GBR,1985,11.175
1986-01-01,GBR,1986,11.2
1987-01-01,GBR,1987,10.275
1988-01-01,GBR,1988,8.45
1989-01-01,GBR,1989,7.075
1990-01-01,GBR,1990,6.825
1991-01-01,GBR,1991,8.6
1992-01-01,GBR,1992,9.855444
1993-01-01,GBR,1993,10.39069
1994-01-01,GBR,1994,9.512666
1995-01-01,GBR,1995,8.638574
1996-01-01,GBR,1996,8.113807
1997-01-01,GBR,1997,6.98159
1998-01-01,GBR,1998,6.26345
1999-01-01,GBR,1999,5.979465
2000-01-01,GBR,2000,5.458603
2001-01-01,GBR,2001,5.09697
2002-01-01,GBR,2002,5.184958
2003-01-01,GBR,2003,5.007329
2004-01-01,GBR,2004,4.747302
2005-01-01,GBR,2005,4.823375
2006-01-01,GBR,2006,5.417598
2007-01-01,GBR,2007,5.32914
2008-01-01,GBR,2008,5.68196
2009-01-01,GBR,2009,7.611054
2010-01-01,GBR,2010,7.867382
2011-01-01,GBR,2011,8.106182
2012-01-01,GBR,2012,7.965578
2013-01-01,GBR,2013,7.603673
2014-01-01,GBR,2014,6.178483
2015-01-01,GBR,2015,5.383935
2016-01-01,GBR,2016,4.892704
2017-01-01,GBR,2017,4.401906
2018-01-01,GBR,2018,4.080814
2019-01-01,GBR,2019,3.833521
2020-01-01,GBR,2020,4.551465
1955-01-01,USA,1955,4.383333
1956-01-01,USA,1956,4.141667
1957-01-01,USA,1957,4.258333
1958-01-01,USA,1958,6.8
1959-01-01,USA,1959,5.475
1960-01-01,USA,1960,5.508333
1961-01-01,USA,1961,6.683333
1962-01-01,USA,1962,5.541667
1963-01-01,USA,1963,5.666667
1964-01-01,USA,1964,5.191667
1965-01-01,USA,1965,4.525
1966-01-01,USA,1966,3.783333
1967-01-01,USA,1967,3.841667
1968-01-01,USA,1968,3.583333
1969-01-01,USA,1969,3.508333
1970-01-01,USA,1970,4.933333
1971-01-01,USA,1971,5.958333
1972-01-01,USA,1972,5.616667
1973-01-01,USA,1973,4.891667
1974-01-01,USA,1974,5.591667
1975-01-01,USA,1975,8.466666
1976-01-01,USA,1976,7.716667
1977-01-01,USA,1977,7.066667
1978-01-01,USA,1978,6.066667
1979-01-01,USA,1979,5.833333
1980-01-01,USA,1980,7.141667
1981-01-01,USA,1981,7.6
1982-01-01,USA,1982,9.708333
1983-01-01,USA,1983,9.616667
1984-01-01,USA,1984,7.525
1985-01-01,USA,1985,7.191667
1986-01-01,USA,1986,6.991667
1987-01-01,USA,1987,6.191667
1988-01-01,USA,1988,5.491667
1989-01-01,USA,1989,5.266667
1990-01-01,USA,1990,5.616667
1991-01-01,USA,1991,6.816667
1992-01-01,USA,1992,7.508333
1993-01-01,USA,1993,6.9
1994-01-01,USA,1994,6.083333
1995-01-01,USA,1995,5.608333
1996-01-01,USA,1996,5.416667
1997-01-01,USA,1997,4.95
1998-01-01,USA,1998,4.508333
1999-01-01,USA,1999,4.216667
2000-01-01,USA,2000,3.991667
2001-01-01,USA,2001,4.733333
2002-01-01,USA,2002,5.775
2003-01-01,USA,2003,5.991667
2004-01-01,USA,2004,5.533333
2005-01-01,USA,2005,5.066667
2006-01-01,USA,2006,4.616667
2007-01-01,USA,2007,4.616667
2008-01-01,USA,2008,5.775
2009-01-01,USA,2009,9.266666
2010-01-01,USA,2010,9.616667
2011-01-01,USA,2011,8.95
2012-01-01,USA,2012,8.066667
2013-01-01,USA,2013,7.375
2014-01-01,USA,2014,6.166667
2015-01-01,USA,2015,5.291667
2016-01-01,USA,2016,4.866667
2017-01-01,USA,2017,4.35
2018-01-01,USA,2018,3.9
2019-01-01,USA,2019,3.666667
2020-01-01,USA,2020,8.091666
1986-01-01,CHL,1986,12.115
1987-01-01,CHL,1987,10.9275
1988-01-01,CHL,1988,9.7525
1989-01-01,CHL,1989,7.9025
1990-01-01,CHL,1990,7.7575
1991-01-01,CHL,1991,8.155
1992-01-01,CHL,1992,6.665
1993-01-01,CHL,1993,6.5425
1994-01-01,CHL,1994,7.815
1995-01-01,CHL,1995,7.3025
1996-01-01,CHL,1996,6.325
1997-01-01,CHL,1997,6.115
1998-01-01,CHL,1998,6.395
1999-01-01,CHL,1999,10.1375
2000-01-01,CHL,2000,9.6675
2001-01-01,CHL,2001,9.8525
2002-01-01,CHL,2002,9.805
2003-01-01,CHL,2003,9.54
2004-01-01,CHL,2004,10.0075
2005-01-01,CHL,2005,9.235
2006-01-01,CHL,2006,7.8
2007-01-01,CHL,2007,7.13
2008-01-01,CHL,2008,7.7925
2009-01-01,CHL,2009,9.675
2010-01-01,CHL,2010,8.15
2011-01-01,CHL,2011,7.125
2012-01-01,CHL,2012,6.545561
2013-01-01,CHL,2013,6.08222
2014-01-01,CHL,2014,6.495096
2015-01-01,CHL,2015,6.328377
2016-01-01,CHL,2016,6.684913
2017-01-01,CHL,2017,6.965175
2018-01-01,CHL,2018,7.376639
2019-01-01,CHL,2019,7.22264
2020-01-01,CHL,2020,10.77024
1997-01-01,EST,1997,9.625
1998-01-01,EST,1998,9.15
1999-01-01,EST,1999,11.35
2000-01-01,EST,2000,14.45833
2001-01-01,EST,2001,13.04167
2002-01-01,EST,2002,11.33333
2003-01-01,EST,2003,10.35
2004-01-01,EST,2004,10.08333
2005-01-01,EST,2005,7.975
2006-01-01,EST,2006,5.941667
2007-01-01,EST,2007,4.6
2008-01-01,EST,2008,5.516667
2009-01-01,EST,2009,13.475
2010-01-01,EST,2010,16.58333
2011-01-01,EST,2011,12.35
2012-01-01,EST,2012,9.908334
2013-01-01,EST,2013,8.491667
2014-01-01,EST,2014,7.316667
2015-01-01,EST,2015,6.158333
2016-01-01,EST,2016,6.691667
2017-01-01,EST,2017,5.766667
2018-01-01,EST,2018,5.533333
2019-01-01,EST,2019,4.533333
2020-01-01,EST,2020,6.783333
1995-01-01,ISR,1995,6.869637
1996-01-01,ISR,1996,6.677445
1997-01-01,ISR,1997,7.673759
1998-01-01,ISR,1998,8.535764
1999-01-01,ISR,1999,8.884659
2000-01-01,ISR,2000,8.770606
2001-01-01,ISR,2001,9.348134
2002-01-01,ISR,2002,10.29844
2003-01-01,ISR,2003,10.71266
2004-01-01,ISR,2004,10.36771
2005-01-01,ISR,2005,8.989903
2006-01-01,ISR,2006,8.403837
2007-01-01,ISR,2007,7.318558
2008-01-01,ISR,2008,6.099141
2009-01-01,ISR,2009,7.544086
2010-01-01,ISR,2010,6.636595
2011-01-01,ISR,2011,5.602376
2012-01-01,ISR,2012,6.85
2013-01-01,ISR,2013,6.208333
2014-01-01,ISR,2014,5.908333
2015-01-01,ISR,2015,5.241667
2016-01-01,ISR,2016,4.808333
2017-01-01,ISR,2017,4.216667
2018-01-01,ISR,2018,4.0
2019-01-01,ISR,2019,3.8
2020-01-01,ISR,2020,4.325
1996-01-01,SVN,1996,6.891667
1997-01-01,SVN,1997,6.916667
1998-01-01,SVN,1998,7.366667
1999-01-01,SVN,1999,7.408333
2000-01-01,SVN,2000,6.741667
2001-01-01,SVN,2001,6.191667
2002-01-01,SVN,2002,6.341667
2003-01-01,SVN,2003,6.7
2004-01-01,SVN,2004,6.341667
2005-01-01,SVN,2005,6.541667
2006-01-01,SVN,2006,5.991667
2007-01-01,SVN,2007,4.858333
2008-01-01,SVN,2008,4.391667
2009-01-01,SVN,2009,5.891667
2010-01-01,SVN,2010,7.3
2011-01-01,SVN,2011,8.241667
2012-01-01,SVN,2012,8.916667
2013-01-01,SVN,2013,10.175
2014-01-01,SVN,2014,9.791667
2015-01-01,SVN,2015,9.025
2016-01-01,SVN,2016,8.025
2017-01-01,SVN,2017,6.6
2018-01-01,SVN,2018,5.158333
2019-01-01,SVN,2019,4.466667
2020-01-01,SVN,2020,5.0
2005-01-01,OECD,2005,6.847052
2006-01-01,OECD,2006,6.331593
2007-01-01,OECD,2007,5.838046
2008-01-01,OECD,2008,6.166872
2009-01-01,OECD,2009,8.31604
2010-01-01,OECD,2010,8.52832
2011-01-01,OECD,2011,8.116277
2012-01-01,OECD,2012,8.097895
2013-01-01,OECD,2013,8.006882
2014-01-01,OECD,2014,7.450135
2015-01-01,OECD,2015,6.88683
2016-01-01,OECD,2016,6.469697
2017-01-01,OECD,2017,5.93979
2018-01-01,OECD,2018,5.50292
2019-01-01,OECD,2019,5.422396
2020-01-01,OECD,2020,7.154215
1991-01-01,G-7,1991,6.366811
1992-01-01,G-7,1992,7.014071
1993-01-01,G-7,1993,7.211086
1994-01-01,G-7,1994,7.018174
1995-01-01,G-7,1995,6.741108
1996-01-01,G-7,1996,6.773658
1997-01-01,G-7,1997,6.552429
1998-01-01,G-7,1998,6.37944
1999-01-01,G-7,1999,6.137665
2000-01-01,G-7,2000,5.698733
2001-01-01,G-7,2001,5.898816
2002-01-01,G-7,2002,6.481965
2003-01-01,G-7,2003,6.645479
2004-01-01,G-7,2004,6.400585
2005-01-01,G-7,2005,6.221782
2006-01-01,G-7,2006,5.816313
2007-01-01,G-7,2007,5.421414
2008-01-01,G-7,2008,5.843527
2009-01-01,G-7,2009,8.016138
2010-01-01,G-7,2010,8.169156
2011-01-01,G-7,2011,7.65432
2012-01-01,G-7,2012,7.384168
2013-01-01,G-7,2013,7.114743
2014-01-01,G-7,2014,6.398038
2015-01-01,G-7,2015,5.820534
2016-01-01,G-7,2016,5.469173
2017-01-01,G-7,2017,4.994215
2018-01-01,G-7,2018,4.559374
2019-01-01,G-7,2019,4.291934
2020-01-01,G-7,2020,6.480737
1991-01-01,EA19,1991,7.840147
1992-01-01,EA19,1992,8.50725
1993-01-01,EA19,1993,10.16667
1994-01-01,EA19,1994,10.85833
1995-01-01,EA19,1995,10.65
1996-01-01,EA19,1996,10.78333
1997-01-01,EA19,1997,10.75833
1998-01-01,EA19,1998,10.55
1999-01-01,EA19,1999,9.816667
2000-01-01,EA19,2000,8.883333
2001-01-01,EA19,2001,8.308333
2002-01-01,EA19,2002,8.6
2003-01-01,EA19,2003,9.075
2004-01-01,EA19,2004,9.325
2005-01-01,EA19,2005,9.183333
2006-01-01,EA19,2006,8.433333
2007-01-01,EA19,2007,7.55
2008-01-01,EA19,2008,7.6
2009-01-01,EA19,2009,9.691667
2010-01-01,EA19,2010,10.28333
2011-01-01,EA19,2011,10.26667
2012-01-01,EA19,2012,11.45833
2013-01-01,EA19,2013,12.075
2014-01-01,EA19,2014,11.65833
2015-01-01,EA19,2015,10.9
2016-01-01,EA19,2016,10.05833
2017-01-01,EA19,2017,9.091666
2018-01-01,EA19,2018,8.208333
2019-01-01,EA19,2019,7.583333
2020-01-01,EA19,2020,7.916667
1999-01-01,LVA,1999,14.06667
2000-01-01,LVA,2000,14.34167
2001-01-01,LVA,2001,13.48333
2002-01-01,LVA,2002,12.49167
2003-01-01,LVA,2003,11.64167
2004-01-01,LVA,2004,11.75
2005-01-01,LVA,2005,10.05
2006-01-01,LVA,2006,7.041667
2007-01-01,LVA,2007,6.058333
2008-01-01,LVA,2008,7.741667
2009-01-01,LVA,2009,17.56667
2010-01-01,LVA,2010,19.475
2011-01-01,LVA,2011,16.21667
2012-01-01,LVA,2012,15.04167
2013-01-01,LVA,2013,11.875
2014-01-01,LVA,2014,10.85
2015-01-01,LVA,2015,9.883333
2016-01-01,LVA,2016,9.633333
2017-01-01,LVA,2017,8.708333
2018-01-01,LVA,2018,7.4
2019-01-01,LVA,2019,6.308333
2020-01-01,LVA,2020,8.1
1999-01-01,LTU,1999,14.64167
2000-01-01,LTU,2000,16.44167
2001-01-01,LTU,2001,17.41667
2002-01-01,LTU,2002,13.775
2003-01-01,LTU,2003,12.43333
2004-01-01,LTU,2004,10.89167
2005-01-01,LTU,2005,8.316667
2006-01-01,LTU,2006,5.791667
2007-01-01,LTU,2007,4.258333
2008-01-01,LTU,2008,5.825
2009-01-01,LTU,2009,13.8
2010-01-01,LTU,2010,17.84167
2011-01-01,LTU,2011,15.39167
2012-01-01,LTU,2012,13.40833
2013-01-01,LTU,2013,11.8
2014-01-01,LTU,2014,10.725
2015-01-01,LTU,2015,9.133333
2016-01-01,LTU,2016,7.9
2017-01-01,LTU,2017,7.116667
2018-01-01,LTU,2018,6.183333
2019-01-01,LTU,2019,6.283333
2020-01-01,LTU,2020,8.516666
2007-01-01,COL,2007,11.2225
2008-01-01,COL,2008,11.2775
2009-01-01,COL,2009,12.08
2010-01-01,COL,2010,11.84167
2011-01-01,COL,2011,10.895
2012-01-01,COL,2012,10.43417
2013-01-01,COL,2013,9.705833
2014-01-01,COL,2014,9.166667
2015-01-01,COL,2015,8.960834
2016-01-01,COL,2016,9.274167
2017-01-01,COL,2017,9.425834
2018-01-01,COL,2018,9.719167
2019-01-01,COL,2019,10.545
2020-01-01,COL,2020,16.13417
2000-01-01,EU27_2020,2000,8.983334
2001-01-01,EU27_2020,2001,8.733334
2002-01-01,EU27_2020,2002,9.05
2003-01-01,EU27_2020,2003,9.816667
2004-01-01,EU27_2020,2004,9.966666
2005-01-01,EU27_2020,2005,9.683333
2006-01-01,EU27_2020,2006,8.708333
2007-01-01,EU27_2020,2007,7.516667
2008-01-01,EU27_2020,2008,7.266667
2009-01-01,EU27_2020,2009,9.225
2010-01-01,EU27_2020,2010,9.941667
2011-01-01,EU27_2020,2011,9.941667
2012-01-01,EU27_2020,2012,10.94167
2013-01-01,EU27_2020,2013,11.45
2014-01-01,EU27_2020,2014,10.9
2015-01-01,EU27_2020,2015,10.075
2016-01-01,EU27_2020,2016,9.175
2017-01-01,EU27_2020,2017,8.175
2018-01-01,EU27_2020,2018,7.3
2019-01-01,EU27_2020,2019,6.733333
2020-01-01,EU27_2020,2020,7.108333
2011-01-01,CRI,2011,10.2283
2012-01-01,CRI,2012,10.14184
2013-01-01,CRI,2013,9.499059
2014-01-01,CRI,2014,9.579739
2015-01-01,CRI,2015,9.606182
2016-01-01,CRI,2016,9.472075
2017-01-01,CRI,2017,9.174437
2018-01-01,CRI,2018,10.17895
2019-01-01,CRI,2019,11.7715
2020-01-01,CRI,2020,19.68985
