,country_code,country,year,gdppc,gini,prog,pubspend_ppp_pc
17416,AUS,Australia,2012,68072.8732340801,0.326,total,7954.757
21350,AUS,Australia,2014,62544.0873773726,0.337,total,8303.351
2044,AUS,Australia,2016,49888.0410842736,0.33,total,8313.147
24283,AUS,Australia,2018,57196.4220783778,0.325,total,8050.393
13084,AUT,Austria,2007,46622.9622913635,0.283942378439011,total,12630.658
32798,AUT,Austria,2008,51581.3982361071,0.280397641755165,total,13010.114
30865,AUT,Austria,2009,47857.4446635266,0.288503405422668,total,13457.806
11677,AUT,Austria,2010,46611.1393420232,0.279633630439701,total,13719.511
24276,AUT,Austria,2011,51116.8953522042,0.281232552404136,total,13662.623
35213,AUT,Austria,2012,48250.4059142637,0.275904886606956,total,13884.807
11480,AUT,Austria,2013,50305.3545774973,0.280076464485942,total,14014.806
31330,AUT,Austria,2014,51314.9722616322,0.274456599245021,total,14109.365
19938,AUT,Austria,2015,43915.228020857,0.275251661569913,total,14114.07
11732,AUT,Austria,2016,45061.4993920192,0.28375175398382,total,14181.054
35646,AUT,Austria,2017,47163.7425775142,0.275117683038337,total,14220.501
30533,AUT,Austria,2018,51194.0749841299,0.279773473806746,total,14367.988
20605,AUT,Austria,2019,49885.9947355204,0.273526859715697,total,14594.203
22016,BEL,Belgium,2018,47487.2100392561,0.258198113374853,total,13546.204
32021,BEL,Belgium,2019,46716.6227467964,0.261804121636575,total,13691.052
32928,CAN,Canada,2000,24271.0020563821,0.315,total,6119.924
14661,CAN,Canada,2001,23822.096210932,0.317,total,6350.497
10668,CAN,Canada,2002,24256.0192337185,0.317,total,6459.073
24875,CAN,Canada,2003,28301.8645937428,0.315,total,6565.73
17541,CAN,Canada,2004,32145.5412620217,0.321,total,6706.898
38203,CAN,Canada,2005,36383.6600068095,0.315,total,6783.748
11822,CAN,Canada,2006,40504.0370977806,0.316,total,7053.213
32202,CAN,Canada,2007,44660.0838892281,0.317,total,7072.775
19485,CAN,Canada,2008,46710.2526864484,0.315,total,7034.888
38249,CAN,Canada,2009,40874.8831932903,0.316,total,7580.639
13799,CAN,Canada,2010,47560.6666009406,0.316,total,7524.994
3302,CAN,Canada,2011,52223.8588398531,0.313,total,7435.907
32733,CAN,Canada,2012,52670.3447335415,0.317,total,7553.319
25559,CAN,Canada,2013,52638.1187235237,0.319,total,7554.484
35378,CAN,Canada,2014,50960.8431174661,0.312,total,7622.718
16578,CAN,Canada,2015,43594.1941045394,0.318,total,8074.997
22463,CAN,Canada,2016,42314.0615817218,0.307,total,8268.268
25381,CAN,Canada,2017,45129.628116623,0.31,total,8277.271
38967,CAN,Canada,2018,46539.1761570405,0.304,total,8335.48
14829,CAN,Canada,2019,46352.8693445211,0.3,total,8590.747
10196,CAN,Canada,2020,43537.839298904,0.28,total,10991.533
38731,CHL,Chile,2009,10098.8017166866,0.48,total,2158.677
11528,CHL,Chile,2011,14487.3927827263,0.471,total,2092.518
39687,CHL,Chile,2013,15683.54863663,0.465,total,2249.454
15390,CHL,Chile,2015,13433.9202985339,0.454,total,2473.578
22833,CHL,Chile,2017,14879.9086230423,0.46,total,2606.064
36113,CHL,Chile,2020,13114.815470545,0.495882187,total,3189.226
38104,CRI,Costa Rica,2011,9276.39107511347,0.48025624,total,1987.399
32271,CRI,Costa Rica,2012,10126.9991024177,0.48321097,total,2004.359
25320,CRI,Costa Rica,2013,10803.2401962173,0.49361589,total,2107.148
32143,CRI,Costa Rica,2014,10911.497878334,0.48488472,total,2116.672
36442,CRI,Costa Rica,2015,11714.7105980732,0.47906188,total,2220.387
37782,CRI,Costa Rica,2016,12091.0301606154,0.48377332,total,2229.807
6832,CRI,Costa Rica,2017,12317.0902771304,0.48028401,total,2273.736
16648,CRI,Costa Rica,2018,12590.2493781614,0.47897549,total,2369.969
29535,CRI,Costa Rica,2019,12884.6859951989,0.47836865,total,2366.889
4662,CRI,Costa Rica,2020,12394.0493969492,0.496726,total,2640.123
39699,CZE,Czechia,2004,11782.5546676117,0.267370111070985,total,4768.506
26920,CZE,Czechia,2005,13442.4916284309,0.260544074064409,total,5087.412
24361,CZE,Czechia,2006,15259.0788162004,0.260391150746389,total,5314.13
37797,CZE,Czechia,2007,18452.6532812196,0.256065786428691,total,5511.159
30042,CZE,Czechia,2008,22774.7045076205,0.259214990582911,total,5698.53
483,CZE,Czechia,2009,19817.4215836554,0.256940432554379,total,6096.932
26089,CZE,Czechia,2010,20160.4355077059,0.259525100995554,total,6095.704
37204,CZE,Czechia,2011,22049.1080788682,0.257334877499148,total,6231.601
35499,CZE,Czechia,2012,20014.0354015165,0.254003526597362,total,6271.046
9935,CZE,Czechia,2013,20260.4954999375,0.25912320166138,total,6519.553
18150,CZE,Czechia,2014,20038.4163180257,0.257334505985223,total,6466.604
7383,CZE,Czechia,2015,17931.5987670768,0.257863698985322,total,6529.999
27662,CZE,Czechia,2016,18753.9686718096,0.253094150825949,total,6545.078
12501,CZE,Czechia,2017,20913.197632212,0.248991292443205,total,6888.612
37743,CZE,Czechia,2018,23705.9329811299,0.248547947936461,total,7150.607
23893,CZE,Czechia,2019,24062.7190013343,0.248264747158995,total,7477.65
1786,DNK,Denmark,2011,61809.737898222,0.2505,total,14280.39
16531,DNK,Denmark,2012,58443.7747103968,0.2488,total,14345.436
38493,DNK,Denmark,2013,61377.5940590412,0.2539,total,14348.039
14573,DNK,Denmark,2014,62520.4509747011,0.2561,total,14489.243
32080,DNK,Denmark,2015,53094.0133607574,0.2633,total,14705.184
9927,DNK,Denmark,2016,54500.9260410217,0.2609,total,14783.465
7607,DNK,Denmark,2017,57521.5514992225,0.264,total,14874.909
18055,DNK,Denmark,2018,61324.7665045565,0.2632,total,14863.091
19291,DNK,Denmark,2019,59404.2663247723,0.2678,total,14974.039
8125,EST,Estonia,2013,19310.3874900757,0.355813701717699,total,4157.54
1098,EST,Estonia,2014,20581.7898991695,0.345843553840909,total,4366.497
7118,EST,Estonia,2015,17722.1557669523,0.330297474104402,total,4732.358
36478,EST,Estonia,2016,18666.3736521706,0.314239075122793,total,4953.266
3273,EST,Estonia,2017,20851.5223496861,0.308786926496072,total,5089.269
18593,EST,Estonia,2018,23618.1361254581,0.305190606217383,total,5416.614
36929,EST,Estonia,2019,24021.2501413306,0.304540204786705,total,5797.954
39225,FIN,Finland,2000,24335.9225082659,0.254473448,total,8535.115
6746,FIN,Finland,2001,24965.202996776,0.261557672,total,8669.102
1684,FIN,Finland,2002,26989.389260959,0.257682445,total,9078.234
23246,FIN,Finland,2003,32920.0857192568,0.261181006,total,9496.754
20958,FIN,Finland,2004,37768.1334202029,0.265586149,total,9891.392
5035,FIN,Finland,2005,39049.8703780223,0.2652048,total,10118.481
30649,FIN,Finland,2006,41214.0187765069,0.267518084,total,10404.598
14562,FIN,Finland,2007,48473.0240091455,0.269084998,total,10493.483
16973,FIN,Finland,2008,53769.4726240385,0.264328194,total,10753.324
10120,FIN,Finland,2009,47478.3495310999,0.258822018,total,11348.178
19088,FIN,Finland,2010,46506.2919016566,0.26379935,total,11856.876
31039,FIN,Finland,2011,51060.3242589767,0.264132509,total,11951.797
38834,FIN,Finland,2012,47551.6740841369,0.259831388,total,12274.702
24601,FIN,Finland,2013,49691.0145200739,0.26168,total,12581.635
26945,FIN,Finland,2014,50073.7760815871,0.25735,total,12793.893
20304,FIN,Finland,2015,42560.3456767103,0.26001,total,12971.579
6708,FIN,Finland,2016,43451.2562442158,0.25878,total,13262.14
29254,FIN,Finland,2017,46085.0174739036,0.26634,total,13264.601
1822,FIN,Finland,2018,49654.2497035329,0.26886,total,13296.428
15819,FIN,Finland,2019,48358.1807773701,0.27289,total,13476.276
20072,FRA,France,2020,39169.8606000707,0.278,total,13792.684
33203,DEU,Germany,2008,46386.3295924799,0.28473,total,10978.49
34352,DEU,Germany,2011,47646.582043143,0.2905,total,11466.571
25012,DEU,Germany,2012,44735.5882319701,0.2888,total,11445.496
3035,DEU,Germany,2013,47220.0102098851,0.29215,total,11551.302
31699,DEU,Germany,2014,48971.0824722599,0.2887,total,11735.624
30962,DEU,Germany,2015,41911.0109851054,0.29318,total,11935.594
2045,DEU,Germany,2016,42961.0356905775,0.29441,total,12204.285
35732,DEU,Germany,2017,45526.5999576533,0.28916,total,12464.482
23641,DEU,Germany,2018,48874.8595028454,0.28934,total,12578.368
1089,DEU,Germany,2019,47623.8656074829,0.2959,total,12829.673
29228,GRC,Greece,2004,21449.2552764245,0.332843633580053,total,5992.721
2140,GRC,Greece,2005,22054.1315756886,0.345128504231271,total,6413.104
1728,GRC,Greece,2006,24416.0232970275,0.337018102548361,total,6701.621
26308,GRC,Greece,2007,28440.7625328955,0.328625708394451,total,7172.503
39206,GRC,Greece,2008,31695.8331092209,0.328052413209581,total,7638.156
15521,GRC,Greece,2009,29425.4573200263,0.329748023000595,total,8081.577
3505,GRC,Greece,2010,26653.0488008626,0.335532196243245,total,7981.756
2695,GRC,Greece,2011,25504.7866510124,0.333415393694577,total,7597.532
13277,GRC,Greece,2012,21624.346052551,0.338052745889481,total,7355.496
21084,GRC,Greece,2013,21573.3449762805,0.341865643617085,total,6700.06
35227,GRC,Greece,2014,21474.7257123892,0.338536155445739,total,6790.59
20522,GRC,Greece,2015,17980.7298238137,0.340272815292087,total,6881.753
6501,GRC,Greece,2016,17919.2426377048,0.333206403990746,total,6963.485
22932,GRC,Greece,2017,18631.9930129293,0.319101913420079,total,6822.624
39435,GRC,Greece,2018,19873.4015238771,0.305565671794549,total,6905.369
17820,GRC,Greece,2019,19335.3602002969,0.31154915421693,total,7053.496
37207,HUN,Hungary,2006,11489.5608654088,0.264080113295389,total,5473.644
7175,HUN,Hungary,2007,13940.9092761999,0.257186548743834,total,5562.45
37471,HUN,Hungary,2008,15772.3300839383,0.246494640681432,total,5690.702
28495,HUN,Hungary,2009,13077.305465178,0.240725396626886,total,5455.976
25104,HUN,Hungary,2010,13217.5045951108,0.26616649566256,total,5436.942
2836,HUN,Hungary,2011,14234.471576937,0.269245702686534,total,5397.511
8663,HUN,Hungary,2012,12984.8365730133,0.279470718259783,total,5433.445
9882,HUN,Hungary,2013,13715.0703590361,0.285864423519134,total,5470.537
20967,HUN,Hungary,2014,14294.2584180751,0.281071729822615,total,5498.616
29706,HUN,Hungary,2015,12717.038597002,0.283501734107091,total,5454.858
6534,HUN,Hungary,2016,13104.6995457458,0.280461895425117,total,5541.8
38040,HUN,Hungary,2017,14621.2395956755,0.289066491163757,total,5582.206
15059,HUN,Hungary,2018,16425.2050299693,0.279661545076841,total,5640.945
22005,HUN,Hungary,2019,16786.2136399075,0.286473395055701,total,5590.002
14431,ISL,Iceland,2004,47334.9306537723,0.260627680269397,total,7153.499
33686,ISL,Iceland,2005,56794.8501588953,0.273090131795784,total,7108.969
34206,ISL,Iceland,2006,57492.9342498703,0.288567076251159,total,7048.062
38869,ISL,Iceland,2007,69495.7267376825,0.285362885258293,total,7892.447
29569,ISL,Iceland,2008,56943.3704468563,0.305503141757128,total,8026.263
24744,ISL,Iceland,2009,41301.273219718,0.266175632489074,total,8490.871
12926,ISL,Iceland,2010,43237.0729488958,0.248472007851575,total,7941.525
31382,ISL,Iceland,2011,47714.5922308485,0.251838240572955,total,8250.754
5971,ISL,Iceland,2012,45995.5478789467,0.252454402532484,total,8133.508
28512,ISL,Iceland,2013,49804.9829978371,0.240412130229513,total,8200.422
10604,ISL,Iceland,2014,54576.7448146565,0.246135608662804,total,8335.911
4787,ISL,Iceland,2015,52951.6815110898,0.256615279741435,total,8191.534
30886,ISL,Iceland,2016,61987.9263620283,0.264419434586746,total,8507.381
37067,ISL,Iceland,2017,72010.1490316258,0.249608913396653,total,9185.313
30257,IRL,Ireland,2004,47754.2023194244,0.322859449933864,total,8465.768
2541,IRL,Ireland,2005,50933.0216095589,0.324007933140459,total,8804.384
11266,IRL,Ireland,2006,54329.1618599624,0.316388541718316,total,9009.733
30727,IRL,Ireland,2007,61396.417461176,0.303675884126803,total,9732.975
1931,IRL,Ireland,2008,61353.1065629523,0.295226940467417,total,10841.745
35837,IRL,Ireland,2009,52133.0909237885,0.312199268857483,total,12182.404
24933,IRL,Ireland,2010,48679.4026820361,0.298288536964271,total,12476.801
25330,IRL,Ireland,2011,52692.7813135606,0.306568350394102,total,12092.992
31241,IRL,Ireland,2012,49411.7387476787,0.309738962380643,total,11915.56
1632,IRL,Ireland,2013,52619.2123745817,0.311591390136746,total,11347.765
1874,IRL,Ireland,2014,57278.2590911107,0.297798862656329,total,11277.637
5695,IRL,Ireland,2015,64311.8234684057,0.297552273011287,total,10510.399
14723,IRL,Ireland,2016,64292.659966313,0.308885497600363,total,10554.947
40155,IRL,Ireland,2017,72499.3268743015,0.294827467079002,total,10664.098
5846,IRL,Ireland,2018,81248.3135388,0.2924049075,total,10900.591
780,IRL,Ireland,2019,82508.4659883582,0.292924611300601,total,10792.868
19749,ISR,Israel,2011,34433.822610733,0.37073,total,5092.067
26750,ISR,Israel,2012,33236.5731239421,0.37147,total,5205.463
3842,ISR,Israel,2013,36929.6042163752,0.36032,total,5356.09
15993,ISR,Israel,2014,38230.4954049785,0.3645,total,5460.829
37047,ISR,Israel,2015,36123.9907881129,0.35956,total,5489.087
5618,ISR,Israel,2016,37556.6272863143,0.34629,total,5627.003
1969,ISR,Israel,2017,40997.9110240274,0.34362,total,5990.762
31676,ISR,Israel,2018,42233.2610344935,0.34797,total,6127.127
25027,ISR,Israel,2019,44140.8289372511,0.34227,total,6327.7
19152,ISR,Israel,2020,44679.7715799755,0.33982,total,7587.036
25435,ISR,Israel,2021,52255.6159050999,0.34812,total,7412.632
3577,ITA,Italy,2004,31425.8208728669,0.331167935147925,total,9611.223
29208,ITA,Italy,2005,32171.793374715,0.323942329695046,total,9728.175
37225,ITA,Italy,2006,33684.7200358552,0.324271098920666,total,9912.408
40159,ITA,Italy,2007,38031.9709472716,0.31254104582239,total,9927.198
29090,ITA,Italy,2008,41095.4063415012,0.316507375686812,total,10134.393
27475,ITA,Italy,2009,37388.4537139699,0.315198002974312,total,10316.646
25210,ITA,Italy,2010,36184.7118698678,0.327322346518374,total,10441.124
38696,ITA,Italy,2011,38851.3881339353,0.32657049905694,total,10326.193
13126,ITA,Italy,2012,35235.7989058242,0.329985447131466,total,10261.252
5975,ITA,Italy,2013,35747.707952689,0.324852834404022,total,10275.772
21857,ITA,Italy,2014,35750.7197500382,0.326403554786522,total,10366.883
36706,ITA,Italy,2015,30387.1293187854,0.332745726676477,total,10535.146
33311,ITA,Italy,2016,31126.3246947273,0.327489172814721,total,10545.367
23018,ITA,Italy,2017,32554.14668453,0.334411921571719,total,10635.79
15959,ITA,Italy,2018,34746.3441392416,0.3297146401,total,10703.203
28505,ITA,Italy,2019,33812.788724868,0.325234499139337,total,10868.0
28454,JPN,Japan,2018,39751.1330982711,0.334,total,9358.306
25138,KOR,Korea,2011,25097.595426845,0.388,total,2699.182
38867,KOR,Korea,2012,25459.1689000965,0.385,total,2931.067
6393,KOR,Korea,2013,27179.5170146052,0.372,total,3189.305
3836,KOR,Korea,2014,29252.9312377352,0.363,total,3406.083
1552,KOR,Korea,2015,28737.4391706499,0.352,total,3652.285
16661,KOR,Korea,2016,29280.4403170048,0.355,total,3835.873
12139,KOR,Korea,2017,31600.7358741365,0.354,total,4040.647
10063,KOR,Korea,2018,33447.1562836166,0.345,total,4463.078
7430,KOR,Korea,2019,31902.4169048194,0.339,total,5116.732
17318,KOR,Korea,2020,31721.2989141857,0.328,total,5956.78
