country,subjectdescriptor,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,nmiss
Austria,GDP_PC,21243.721,21179.949,21556.949,22226.939,22298.279,22783.131,23292.029,23651.891,23848.83,24717.131,25620.881,26275.471,26522.859,26379.811,26856.08,27521.221,28147.25,28724.92,29724.76,30747.9,31705.359,32058.631,32416.9,32514.039,33220.309,33688.18,34593.879,35722.488,36166.059,34679.379,35277.969,36166.371,"$36,297.68","$36,225.58","$36,114.77",0
Austria,Unemployment rate,1.6,2.2,3.0999999,3.7,3.8,3.5999999,3.0999999,3.8,2.6760001,2.348,2.723,3.151,3.29,3.9579999,3.8499999,3.9170001,4.3330002,4.3670001,4.4829998,3.9330001,3.8829999,4.0079999,4.3920002,4.7919998,5.4920001,5.6500001,5.2249999,4.8670001,4.1500001,5.3080001,4.8169999,4.5669999,4.925,5.342,5.633,0
Austria,Population,7.54,7.5560002,7.5650001,7.5430002,7.5440001,7.5489998,7.5570002,7.5669999,7.5760002,7.5939999,7.645,7.711,7.7989998,7.8829999,7.9289999,7.9439998,7.9530001,7.9650002,7.9710002,7.9829998,8.0019999,8.0209999,8.0640001,8.1000004,8.1429996,8.2010002,8.2539997,8.283,8.3079996,8.335,8.3520002,8.375,8.408,8.452,8.508,0
Belgium,GDP_PC,21885.359,21805.949,21955.25,22016.061,22570.49,22932.369,23347.6,23871.971,24971.73,25702.98,26455.631,26834.859,27150.4,26765.529,27540.859,28114.301,28515.301,29503.67,30030.52,31080.939,32104.82,32324.82,32681.381,32825.328,33820.199,34297.73,34980.461,35780.98,35843.238,34624.781,35206.578,35253.41,"$34,986.68","$34,878.56","$35,117.22",0
Belgium,Unemployment rate,8.3000002,10,11.5,10.75,10.8,10.117,10.058,9.8170004,8.8249998,7.3920002,6.5500002,6.4419999,7.092,8.625,9.7580004,9.6920004,9.5500002,9.2250004,9.342,8.4420004,6.9419999,6.7080002,7.6170001,8.1750002,8.3249998,8.408,8.2080002,7.5,7.092,7.8670001,8.25,7.217,7.642,8.4,8.492,0
Belgium,Population,9.8549995,9.8629999,9.8549995,9.8579998,9.8529997,9.8579998,9.8590002,9.8649998,9.8760004,9.9280005,9.948,9.9870005,10.022,10.068,10.101,10.131,10.143,10.17,10.192,10.214,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.095,11.162,11.204,0
Cyprus,GDP_PC,8316.4697,8463.71,8894.9404,9246.2998,9927.9102,10278.01,10521.77,11150.68,11952.79,12732.83,13394.78,13142.26,14003.41,13759.04,14269.65,15530.25,15545.7,15709.42,16323.03,16899.93,17679.57,18104.039,18472.471,18745.891,19297.141,19746.369,20259.801,20744.721,20942.9,19959.1,19737.91,19279.811,"$18,608.89","$17,418.39","$16,843.65",0
Cyprus,Unemployment rate,,,2.8,3.3,3.3,3.3,3.7,3.4000001,2.8,2.3,1.8,3,1.825,2.7,2.7,2.5999999,3.0999999,3.4000001,3.4000001,3.5999999,4.8249998,3.9000001,3.517,4.125,4.6170001,5.3330002,4.5170002,3.9000001,3.658,5.408,6.2670002,7.9169998,11.875,15.875,16.125,2
Cyprus,Population,.51700002,.52399999,.52999997,.537,.54400003,.55000001,.55699998,.56300002,.56900001,.57700002,.58899999,.60500002,.62099999,.63599998,.64999998,.65600002,.66600001,.67500001,.68300003,.69099998,.69800001,.70599997,.71399999,.72299999,.73299998,.74400002,.75800002,.77600002,.79699999,.81900001,.83999997,.86199999,0.872,0.881,0.891,0
Estonia,GDP_PC,,,,,,,,,,,,,,5214.7202,5248.3599,5468.3999,5852.0098,6631.79,6968.8799,6978.5098,7756.3101,8278.0195,8817.9102,9508.1602,10143.89,11124.06,12292.49,13267.38,12562.15,10716.61,10982.89,11815.15,"$12,866.29","$13,149.34","$13,194.26",13
Estonia,Unemployment rate,,,,,,,,,,,,,,6.526,7.546,9.6450005,9.8809996,9.6339998,9.8310003,12.201,14.602,13.009,11.227,10.342,10.14,8.0310001,5.9120002,4.592,5.4549999,13.549,16.707001,12.325,10.023,8.628,7.351,13
Estonia,Population,,,,,,,,,,,,,,1.511,1.477,1.448,1.425,1.406,1.393,1.3789999,1.372,1.367,1.3609999,1.3559999,1.351,1.348,1.345,1.342,1.341,1.34,1.34,1.34,1.294,1.286,1.319,13
Finland,GDP_PC,19921.859,20105.359,20608.67,21086.74,21602.891,22202.609,22707.52,23443.641,24574.971,25823.32,25366.76,23751.029,22822.02,22537.961,23320.221,24201.801,24998.51,26481.4,27837.24,29005.09,30570.439,31300.211,31741.699,32303.779,33485.629,34305.781,35567.91,37260.691,37362.629,34106.891,34962.641,35702.352,"$35,023.82","$34,469.00","$34,174.61",0
Finland,Unemployment rate,5.2880001,5.743,6.0760002,6.1469998,5.928,6.0489998,6.665,4.9000001,4.2080002,3.108,3.1670001,6.6079998,11.708,16.341999,16.583,15.4,14.567,12.642,11.358,10.217,9.783,9.125,9.0749998,9.0080004,8.8249998,8.3999996,7.717,6.8670001,6.3670001,8.2419996,8.3830004,7.7750001,7.725,8.142,8.683,0
Finland,Population,4.7709999,4.7880001,4.8119998,4.842,4.8699999,4.8940001,4.9109998,4.9260001,4.9390001,4.954,4.974,4.9980001,5.0289998,5.0549998,5.0780001,5.099,5.1170001,5.132,5.1469998,5.1599998,5.171,5.1810002,5.1950002,5.2059999,5.2199998,5.237,5.256,5.277,5.3000002,5.3260002,5.3509998,5.375,5.401,5.427,5.451,0
France,GDP_PC,20967.48,21076.859,21483.76,21628.279,21860.051,22109.189,22525.32,22993.609,23959.75,24867.85,25453.539,25598.74,25885.33,25610.76,26122.26,26580.34,26863.961,27406.68,28292.25,29157.35,30101.18,30478.02,30602.391,30639.66,31283.35,31547.57,32067.221,32614.41,32499.48,31376.5,31840.57,32345.381,"$32,248.20","$32,319.12","$32,241.30",0
France,Unemployment rate,6.349,7.4380002,8.0690002,7.3829999,8.4580002,8.6999998,8.875,9.1499996,8.842,8.6999998,8.3999996,8.6169996,9.4420004,10.267,10.667,10.508,10.833,10.892,10.692,10.442,9.1750002,8.4580002,8.2749996,8.5170002,8.8669996,8.8669996,8.8170004,8.0080004,7.4169998,9.1079998,9.2580004,9.1420002,9.742,10.267,10.308,0
France,Population,53.730999,54.028999,54.334999,54.650002,54.895,55.157001,55.410999,55.681999,55.966,56.27,56.577,56.841,57.111,57.368999,57.564999,57.752998,57.936001,58.116001,58.299,58.497002,58.858002,59.266998,59.686001,60.102001,60.505001,60.963001,61.400002,61.794998,62.134998,62.466,62.764999,63.07,63.376,63.652,63.92,0
Germany,GDP_PC,20067.061,20051.41,19907.58,20287.83,20945.77,21457.91,21961.51,22280.18,22972.57,23635.32,24517.98,25416.77,25576.9,25213.279,25786.93,26165.43,26327.68,26813.551,27296.58,27757.471,28610.66,29074.131,29044.91,28833.66,29047.34,29324.711,30507.84,31577.211,31915.18,30212.74,31424.221,33170.172,"$33,292.42","$33,326.79","$33,714.67",0
Germany,Unemployment rate,3.359,4.8309999,6.7340002,8.099,8.0579996,8.1239996,7.8340001,7.8429999,7.7350001,6.79,6.1550002,5.4699998,6.592,7.7750001,8.4250002,8.2329998,8.908,9.658,9.3830004,8.5579996,7.9499998,7.8000002,8.6000004,9.7080002,10.333,11,10.042,8.5749998,7.408,7.6750002,6.9580002,5.8579998,5.367,5.242,5,0
Germany,Population,77.132004,77.278,77.223,76.953003,76.642998,76.453003,76.505997,76.519997,76.986,77.754997,79.246002,80.275002,80.974998,81.337997,81.539001,81.817001,82.012001,82.056999,82.037003,82.163002,82.260002,82.440002,82.537003,82.531998,82.500999,82.438004,82.315002,82.218002,82.001999,81.802002,81.751999,80.328003,80.524,80.767,81.1,0
Greece,GDP_PC,14410.79,14062.93,13808.54,13586.09,13796.2,14084.06,14103.02,13736.24,14272.46,14741.43,14644.94,14971.85,14926.25,14529.7,14665.92,14834.5,15149.97,15846.26,16392.039,16813.42,17412.57,18011.68,18524.449,19699.551,20602.41,20718.4,21847.471,22556.07,22378.65,21379.039,20227.051,18533.801,"$17,316.31","$16,732.87","$16,969.67",0
Greece,Unemployment rate,2.6630001,3.9159999,5.5939999,7.6030002,7.8769999,7.5549998,7.1399999,7.1220002,7.4229999,7.217,6.7950001,7.4250002,8.368,9.3389997,9.2989998,9.0710001,9.8039999,9.7539997,11.222,12.096,11.35,10.793,10.354,9.7939997,10.591,9.9969997,9.0080004,8.3970003,7.7589998,9.6160002,12.713,17.864,24.439,27.466,26.491,0
Greece,Population,9.6429996,9.7279997,9.7950001,9.8479996,9.8929996,9.934,9.9720001,10.007,10.044,10.094,10.161,10.247,10.35,10.462,10.572,10.672,10.758,10.745,10.808,10.861,10.904,10.935,10.969,10.999,11.038,11.074,11.112,11.144,11.182,11.191,11.184,11.123,11.123,11.063,10.993,0
Ireland,GDP_PC,14074.06,14249.98,14310.84,14109.15,14458.12,14693.89,14753.67,15265.39,15793.41,16780.84,18093.82,18287.029,18788.141,19117.49,20177.619,22018.721,23895.09,26289.061,28332.211,31058.369,33802.609,35237.84,36662.922,37471.801,38490.801,40051.77,41581.891,42453.488,40523.289,37831.051,37803.422,38611.398,"$38,581.19","$39,068.97","$40,953.19",0
Ireland,Unemployment rate,,,,,,17.700001,18.1,18.799999,18.4,17.9,17.200001,19,16.299999,16.700001,15.1,14.1,11.8,10.1,7.3829999,5.5560002,4.2519999,3.9300001,4.448,4.5799999,4.4889998,4.3889999,4.4990001,4.6739998,6.4000001,12.009,13.853,14.625,14.672,13.045,11.263,5
Ireland,Population,3.401,3.4430001,3.48,3.5039999,3.529,3.54,3.5409999,3.5469999,3.5309999,3.51,3.506,3.526,3.5550001,3.5739999,3.586,3.6010001,3.6259999,3.664,3.7030001,3.7420001,3.79,3.8469999,3.9170001,3.98,4.0450001,4.1339998,4.2329998,4.3759999,4.4850001,4.533,4.5549998,4.5749998,4.585,4.593,4.61,0
Italy,GDP_PC,18588.99,18715.779,18778.32,18984.77,19596.48,20136.561,20708.961,21371.27,22261.77,22999.92,23453.301,23792.16,23963.869,23730.84,24232.461,24797.83,25117.039,25563.699,25964.311,26367.449,27338.801,27805.32,27861.93,27834.6,28095.619,28176.74,28648.301,28990.971,28476.73,26757.189,27127.73,27206.699,"$26,439.82","$25,864.06","$25,288.87",0
Italy,Unemployment rate,7.3699999,7.6490002,8.2880001,7.3670001,7.8330002,8.1669998,8.8669996,9.6169996,9.6829996,9.6669998,8.8579998,8.533,8.8079996,9.8330002,10.633,11.15,11.15,11.242,11.333,10.942,10.1,9.1000004,8.6079998,8.4499998,7.9580002,7.717,6.783,6.1079998,6.75,7.7579999,8.3500004,8.3579998,10.617,12.158,12.667,0
Italy,Population,56.388,56.479,56.523998,56.563,56.564999,56.588001,56.598,56.594002,56.609001,56.648998,56.694,56.743999,56.772999,56.820999,56.841999,56.844002,56.844002,56.875999,56.903999,56.909,56.924,56.960999,56.987999,57.131001,57.495998,57.875,58.063999,58.223999,58.653,59.000999,59.189999,59.365002,59.394,59.685,60.783,0
Latvia,GDP_PC,,,,,,,,,,,,,4052.6001,3601.4099,3738.3799,3846.0601,3992.55,4386.9399,4708.9302,4853.8198,5151.1001,5586.0098,6071.27,6657.1201,7323.4902,8164.5,9202.71,10191.04,9944.0996,8647.7803,8566.9502,9194.0596,"$9,778.96","$10,222.92","$10,495.84",12
Latvia,Unemployment rate,,,,,,,,,,,,,3.178,6.9510002,6.9510002,6.9510002,20.711,15.167,13.975,14.05,14.325,13.45,12.475,11.65,11.75,10.05,7.0500002,6.0749998,7.7249999,17.525,19.5,16.202999,15.048,11.862,10.843,12
Latvia,Population,,,,,,,,,,,,,2.677,2.6689999,2.6270001,2.5009999,2.47,2.4449999,2.421,2.3989999,2.382,2.3529999,2.3210001,2.299,2.277,2.25,2.2279999,2.2090001,2.1919999,2.1630001,2.1210001,2.075,2.045,2.039,2.033,12
Lithuania,GDP_PC,,,,,,,,,,,,,,,,,,,,5109.4199,5331.8198,5718.7798,6131.3101,6790.5298,7330.1899,7950.8101,8677.0303,9754.2402,10114.08,8711.96,9040.5996,9812.5498,"$10,326.76","$10,771.57","$11,185.08",19
Lithuania,Unemployment rate,,,,,,,,,,,,,,,,,,,,14.6,16.375,17.362,13.764,12.419,10.886,8.3240004,5.7779999,4.2480001,5.8270001,13.787,17.813999,15.39,13.366,11.77,10.699,19
Lithuania,Population,,,,,,,,,,,,,,,,,,,,3.4289999,3.405,3.388,3.3759999,3.3610001,3.3429999,3.323,3.27,3.2309999,3.198,3.1630001,3.0969999,3.0280001,2.988,2.958,2.932,19
Luxembourg,GDP_PC,30879,31031.68,31328.52,31919.539,33401.781,35203.59,38539.301,39802.641,42801.859,46535.078,48458.879,51940.738,52171.48,53598.219,54846.988,55372.012,55405.301,57948.641,60950.629,65263.52,69760.844,70305.797,72104.938,72419.594,74507.211,75858.25,78397.141,83712.102,81702.773,75789.258,78720.367,79144.219,"$76,704.33","$78,297.77","$80,763.51",0
Luxembourg,Unemployment rate,.72299999,1.015,1.33,1.615,1.748,1.6670001,1.4579999,1.669,1.536,1.402,1.256,1.38,1.6339999,2.105,2.7320001,2.961,3.2409999,3.302,3.0569999,2.8900001,2.408,2.2249999,2.5,3.3169999,3.717,4.125,4.2420001,4.1999998,4.1750002,5.5,5.8670001,5.6999998,6.134,6.877,7.152,0
Luxembourg,Population,.36399999,.36500001,.366,.366,.366,.36700001,.368,.37099999,.37400001,.37799999,.382,.38699999,.39199999,.398,.40400001,.40599999,.412,.417,.42199999,.42699999,.43399999,.44,.44400001,.44800001,.45500001,.461,.46900001,.47600001,.484,.49399999,.50199997,.51200002,0.525,0.537,0.55,0
Malta,GDP_PC,,,,,,,,,,,,,,,,,,,,,14183.29,13880.92,14145.01,14390.53,14378.03,14835.55,15037.07,15592.83,16014.19,15499.87,15929.64,16226.45,"$16,525.60","$16,761.76","$17,184.94",20
Malta,Unemployment rate,,,,12.5,12.5,12.2,11,8.1999998,6.1999998,4.6360002,4.8000002,4.4000001,4.9000001,5.4000001,5.4000001,4.9000001,5.1999998,6.1999998,6.5999999,7.0999999,6.7579999,7.6170001,7.4330001,7.717,7.217,6.9419999,6.8169999,6.467,5.9749999,6.8829999,6.8670001,6.3920002,6.308,6.383,5.867,3
Malta,Population,.315,.31799999,.31999999,.33199999,.329,.33199999,.34099999,.34299999,.34599999,.34900001,.352,.35600001,.36000001,.36300001,.366,.36899999,.37099999,.37400001,.377,.37900001,.38,.391,.39500001,.39700001,.40000001,.403,.405,.40599999,.40799999,.41100001,.414,.41499999,0.418,0.421,0.425,0
Netherlands,GDP_PC,22513,22244.82,21858.24,22158.84,22759.779,23254.689,23849.779,24137.061,25081.57,26033.4,26935.391,27376.58,27634.68,27787.77,28437.43,29023.221,29919.641,31043.5,32251.859,33655.012,34832.539,35307.621,35118.398,35053.5,35639.301,36322.922,37541.66,38843.488,39353.34,37676.23,38008.551,38460.309,"$37,913.10","$37,615.81","$37,861.60",0
Netherlands,Unemployment rate,3.3540001,4.5830002,6.5250001,8.2539997,8.0900002,7.3270001,6.52,6.3369999,6.2470002,5.6739998,5.112,4.7989998,4.8649998,5.5300002,6.1929998,7.0640001,6.4400001,5.46,4.3039999,3.5380001,3.0599999,3.1370001,3.665,4.8299999,5.664,5.8870001,5.0139999,4.165,3.665,4.3579998,4.993,4.98,5.833,7.259,7.395,0
Netherlands,Population,14.15,14.247,14.313,14.367,14.424,14.492,14.572,14.665,14.76,14.849,14.952,15.07,15.184,15.29,15.383,15.459,15.53,15.611,15.707,15.812,15.926,16.046,16.149,16.225,16.282,16.32,16.346001,16.382,16.445999,16.530001,16.615,16.693001,16.755,16.804,16.864,0
Portugal,GDP_PC,8774.1504,9037.8398,9172.9902,9209.7598,9080.9297,9191.9805,9483.8799,10203.41,10758.6,11486.74,12411.86,12863,13272.45,13168.97,13343.67,13614.78,14038.08,14594.03,15216.28,15718.8,16199.85,16398.631,16434.471,16219.91,16474.211,16569.869,16796.83,17181.6,17191.061,16663.311,16971.83,16686.24,"$16,079.25","$15,908.21","$16,147.70",0
Portugal,Unemployment rate,7.8239999,8.29,7.4569998,7.9450002,10.503,8.6739998,8.6029997,7.1259999,7.0689998,5.059,4.2249999,4.138,3.8599999,5.1269999,6.3400002,7.151,7.2509999,6.7410002,4.9369998,4.381,3.925,4.0089998,4.9949999,6.2639999,6.6230001,7.5819998,7.6469998,7.9640002,7.552,9.4320002,10.77,12.677,15.526,16.183,13.894,0
Portugal,Population,9.7779999,9.8280001,9.8920002,9.948,9.9840002,10.025,10.039,10.043,10.034,10.023,10.005,9.9790001,9.974,9.9829998,9.9989996,10.026,10.064,10.109,10.16,10.218,10.29,10.363,10.42,10.459,10.484,10.503,10.522,10.543,10.558,10.568,10.573,10.558,10.515,10.457,10.394,0
Slovak Republic,GDP_PC,,,,,,,,,,,,,,5871.9302,6201.3701,6652.3398,7099.3398,7455.3501,7740.5801,7709.5601,7791.3599,8047.9902,8418.8398,8866.2197,9365.1396,9959.0801,10762.04,11906.7,12544.98,11851.35,12395.24,12799.64,"$12,976.17","$13,145.23","$13,445.83",13
Slovak Republic,Unemployment rate,,,,,,,,,,,,,,12.7,14.6,13.7,12.6,11.882,12.7,16.483,18.875,19.450001,18.816999,17.700001,18.333,16.358,13.458,11.233,9.5830002,12.117,14.483,13.692,13.975,14.258,13.217,13
Slovak Republic,Population,,,,,,,,,,,,,,5.3080001,5.3379998,5.368,5.3790002,5.3499999,5.3579998,5.369,5.3769999,5.3790002,5.3839998,5.3889999,5.3699999,5.3790002,5.3889999,5.3909998,5.3959999,5.4089999,5.4219999,5.3920002,5.404,5.411,5.417,13
Slovenia,GDP_PC,,,,,,,,,,,,,10033.29,10366.04,10915.44,11361.46,11790.1,12405.97,12856.27,13534.37,14029.95,14426.81,14950.71,15367.87,16025.38,16657.221,17548.689,18701.32,19319.551,17619.5,17710.221,17797.289,"$17,268.83","$17,058.55","$17,559.25",12
Slovenia,Unemployment rate,,,,,,,,,,,,,7.836,8.5909996,8.4969997,7,6.8920002,6.9169998,7.3670001,7.3499999,6.7420001,6.1919999,6.342,6.6999998,6.342,6.5419998,5.9920001,4.8579998,4.3920002,5.8920002,7.2670002,8.2080002,8.892,10.142,9.733,12
Slovenia,Population,,,,,,,,,,,,,2,1.99,1.99,1.99,1.987,1.985,1.978,1.978,1.988,1.99,1.994,1.995,1.9960001,1.998,2.003,2.01,2.01,2.0320001,2.0469999,2.05,2.055,2.059,2.061,12
Spain,GDP_PC,13036.3,12861,12950.98,13103.51,13273.1,13538.84,13963.11,14725.86,15471.19,16213.09,16807.279,17186.131,17275.23,16995.369,17345.42,18018.211,18411.869,19073.199,19855.971,20691.32,21554.93,22166.311,22418.18,22708.881,23066.311,23483.57,24079.631,24503.689,24374.68,23308.33,23214.811,22985.109,"$22,490.14","$22,296.48","$22,669.05",0
Spain,Unemployment rate,11.011,13.755,15.77,17.215,19.937,21.305,20.907,20.223,19.238001,17.24,16.238001,16.313,18.353001,22.639999,24.118,22.9,22.08,20.610001,18.605,15.64,13.857,10.54,11.475,11.5,10.95,9.1499996,8.4499998,8.2250004,11.25,17.875,19.85,21.4,24.8,26.1,24.45,0
Spain,Population,37.387001,37.742001,37.944,38.122002,38.273998,38.409,38.52,38.610001,38.692001,38.769001,38.837002,38.939999,39.069,39.189999,39.296001,39.388,39.479,39.583,39.722,39.926998,40.264,40.721001,41.424,42.195999,42.859001,43.662998,44.361,45.236,45.983002,46.368,46.562,46.736,46.766,46.593,46.464,0
